"Dengue viral component","Human Gene symbol","Human gene Entrez Id","Pubmed Id","Serotype","System","Experiment","Title"
"3'-UTR","DDX6",1656,21957497,"DENV2","HeLa, HuH7","RNA affinity chromatography, Electrophoretic mobility shift assay","Quantitative mass spectrometry of DENV-2 RNA-interacting proteins reveals that the DEAD-box RNA helicase DDX6 binds the DB1 and DB2 3' UTR structures."
"3'-UTR","G3BP1",10146,21957497,"DENV2","HeLa, HuH7","RNA affinity chromatography, Electrophoretic mobility shift assay","Quantitative mass spectrometry of DENV-2 RNA-interacting proteins reveals that the DEAD-box RNA helicase DDX6 binds the DB1 and DB2 3' UTR structures."
"3'-UTR","G3BP2",9908,21957497,"DENV2","HeLa, HuH7","RNA affinity chromatography, Electrophoretic mobility shift assay","Quantitative mass spectrometry of DENV-2 RNA-interacting proteins reveals that the DEAD-box RNA helicase DDX6 binds the DB1 and DB2 3' UTR structures."
"3'-UTR","USP10",9100,21957497,"DENV2","HeLa, HuH7","RNA affinity chromatography, Electrophoretic mobility shift assay","Quantitative mass spectrometry of DENV-2 RNA-interacting proteins reveals that the DEAD-box RNA helicase DDX6 binds the DB1 and DB2 3' UTR structures."
"3'-UTR","EEF1A1",1915,23939980,"DENV2","293, Monocyte derived Macrophages (MDM)",,"Reduced sphingosine kinase 1 activity in dengue virus type-2 infected cells can be mediated by the 3' untranslated region of dengue virus type-2 RNA."
"3'-UTR","SPHK1",8877,23939980,"DENV2","293, Monocyte derived Macrophages (MDM)",,"Reduced sphingosine kinase 1 activity in dengue virus type-2 infected cells can be mediated by the 3' untranslated region of dengue virus type-2 RNA."
"3'-UTR","LSM1",27257,25872476,,,"Co-localization by confocal immunofluorescence, siRNA","LSm1 binds to the Dengue virus RNA 3'Â UTR and is a positive regulator of Dengue virus replication."
"3'-UTR","MAPK1",5594,26138103,"DENV2","Huh7","RNA-immunoprecipitation followed by mass spectrometry","Dengue subgenomic RNA binds TRIM25 to inhibit interferon expression for epidemiological fitness"
"3'-UTR","MAVS",57506,26138103,"DENV2","Huh7","RNA-immunoprecipitation followed by mass spectrometry","Dengue subgenomic RNA binds TRIM25 to inhibit interferon expression for epidemiological fitness"
"3'-UTR","PRDX3",10935,26138103,"DENV2","Huh7","RNA-immunoprecipitation followed by mass spectrometry","Dengue subgenomic RNA binds TRIM25 to inhibit interferon expression for epidemiological fitness"
"3'-UTR","TRIM25",7706,26138103,"DENV2","Huh7","RNA-immunoprecipitation followed by mass spectrometry","Dengue subgenomic RNA binds TRIM25 to inhibit interferon expression for epidemiological fitness"
"5'-UTR","PTBP1",5725,19380576,"DENV2","BHK-21, Vero","RNA immunoprecipitation followed by mass spectrometry, Confocal immunofluorescence analysis, siRNA, ","The polypyrimidine tract-binding protein is required for efficient dengue virus propagation and associates with the viral replication machinery."
"5'-UTR","MIR548G",100313938,25499200,"DENV1, DENV2, DENV3, DENV4","293T, BHK-21, Vero","ELISA, real-time RT-PCR ","Cellular microRNA-miR-548g-3p modulates the replication of dengue virus."
"C","HNRNPK",3190,11747608,"DENV2","293T, BHK"," In vitro binding assay, Co-immunoprecipitation analysis, GST pull-down assay","The heterogeneous nuclear ribonucleoprotein K (hnRNP K) interacts with dengue virus core protein."
"C","DAXX",1616,17707345,"DENV2","Yeast, HepG2","Y2H assay, Co-immunoprecipitation, Co-localization by double immunofluorescence staining","Sensitization to Fas-mediated apoptosis by dengue virus capsid protein."
"C","EXOC1",55763,19889084,"DENV2","HEK293","Y2H assay, Knock-down and over-expression studies, Co-immunoprecipitation","Human Sec3 protein is a novel transcriptional and translational repressor of flavivirus."
"C","DAXX",1616,19944121,"DENV2","HepG2","Co-localization analysis, Deletion analysis, Co-localization, Apoptosis assays","Nuclear localization of dengue virus capsid protein is required for DAXX interaction and apoptosis."
"C","CLDN1",9076,19962368,"DENV2","Yeast, Huh-7 cells","Y2H assay, Knock-down analysis, Co-immunoprecipitation","Novel binding between pre-membrane protein and claudin-1 is required for efficient dengue virus entry."
"C","CCNT1",904,20618343,"DENV2","Vero E6, Huh7, HepG2","siRNA, Immunofluorscence staining, Co-immunoprecipitation, Chromatin immunoprecipitation","Positive transcription elongation factor b (P-TEFb) contributes to dengue virus-stimulated induction of interleukin-8 (IL-8)."
"C","CDK9",1025,20618343,"DENV2","Vero E6, Huh7, HepG2","siRNA, Immunofluorscence staining, Co-immunoprecipitation, Chromatin immunoprecipitation","Positive transcription elongation factor b (P-TEFb) contributes to dengue virus-stimulated induction of interleukin-8 (IL-8)."
"C","MX1",4599,20718508,"DENV2","HUVECs","Co-localization studies","The ubiquitin-proteasome pathway is important for dengue virus infection in primary human endothelial cells."
"C","ACY1",95,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","ALDOB",229,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","CLU",1191,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","HLA-B",3106,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","MBP",4155,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","MFAP3L",9848,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","MPRIP",23164,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","PCP4L1",654790,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","SLC24A2",25769,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","TUBA1A",7846,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"C","AFTPH",54812,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"C","CSNK2A1",1457,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"C","GAB1",2549,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"C","UBE2I",7329,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"C","ZAP70",7535,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"C","CD38",952,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","CUL3",8452,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","HRK",8739,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","IFI16",3428,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","LCK",3932,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","NLRP2",55655,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","PDCD5",9141,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","PLG",5340,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","PMAIP1",5366,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","PRKCE",5581,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","SIPA1",6494,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","TNF",7124,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","TNFRSF9",3604,21669186,"DENV2","HepG2","Real-time PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis."
"C","TNFRSF9",3604,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","TNFSF10",8743,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","TP73",7161,21669186,,"HepG2","qRT-PCR, FACS","Role of CD137 signaling in dengue virus-mediated apoptosis"
"C","HIST2H2AC",8338,21909430,"DENV2","Huh7","Tandem affinity purification followed by mass spectrometry, Co-immunoprecipitation, siRNA","Dengue virus capsid protein binds core histones and inhibits nucleosome formation in human liver cells."
"C","HIST2H2BE",8349,21909430,"DENV2","Huh7","Tandem affinity purification followed by mass spectrometry, Co-immunoprecipitation, siRNA","Dengue virus capsid protein binds core histones and inhibits nucleosome formation in human liver cells."
"C","HIST2H3C",126961,21909430,"DENV2","Huh7","Tandem affinity purification followed by mass spectrometry, Co-immunoprecipitation, siRNA","Dengue virus capsid protein binds core histones and inhibits nucleosome formation in human liver cells."
"C","HIST4H4",121504,21909430,"DENV2","Huh7","Tandem affinity purification followed by mass spectrometry, Co-immunoprecipitation, siRNA","Dengue virus capsid protein binds core histones and inhibits nucleosome formation in human liver cells."
"C","CAMLG",819,22281498,"DENV2","Yeast, Huh7","Y2H assay, Co-immunoprecipitation, Knock down and over-expression studies","Dengue virus utilizes calcium modulating cyclophilin-binding ligand to subvert apoptosis."
"C","HMGB1",3146,22860034,"DENV2","K562, HUVEC","Indirect Immunofluorescence Microscopy, Western Blot, siRNA, ELISA","Dengue virus infection mediates HMGB1 release from monocytes involving PCAF acetylase complex and induces vascular leakage in endothelial cells."
"C","KAT2B",8850,22860034,"DENV2","K562, HUVEC","Indirect Immunofluorescence Microscopy, Western Blot, siRNA, ELISA","Dengue virus infection mediates HMGB1 release from monocytes involving PCAF acetylase complex and induces vascular leakage in endothelial cells."
"C","ANKRD12",23253,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","AP3B1",8546,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","BIRC2",329,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","BOD1L1",259282,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","CD3G",917,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","DENND1C",79958,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","GTPBP4",23560,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","HBA1",3039,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","HBB",3043,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","NAP1L1",4673,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","OS9",10956,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","RPL5",6125,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","RPL6",6128,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","RPS27",6232,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","RPS7",6201,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","RRP12",23223,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","S100A9",6280,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","TMF1",7110,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","ZNF394",84124,23326450,"DENV1, DENV2, DENV3, DENV4","Yeast","Y2H assay","Identification of new protein interactions between dengue fever virus and its hosts, human and mosquito."
"C","EXOC1",55763,23522008,"DENV2","293, hSec3pOE (hSec3p overexpressing_x000D_ 293 cells), hSec3pKD (293 cells knocked down for hSec3p)_x000D_","Co-immunoprecipitation, Mutational analysis, Inhibition studies","West Nile virus and dengue virus capsid protein negates the antiviral activity of human Sec3 protein through the proteasome pathway."
"C","APOE",348,23792329,"DENV2","Human lipoproteins isolated from human blood plasma","Atomic force microscopy-based force spectroscopy, Dynamic light scattering, NMR, Computational analysis","Dengue virus capsid protein interacts specifically with very low-density lipoproteins."
"C","PLIN3",10226,23792329,"DENV2","Human lipoproteins isolated from human blood plasma","Atomic force microscopy-based force spectroscopy, Dynamic light scattering, NMR, Computational analysis","Dengue virus capsid protein interacts specifically with very low-density lipoproteins."
"C","NCL",4691,24027323,"DENV2","293, Vero","Co-localization, siRNA, Co-immunoprecipitation followed by mass spectrometry","Nucleolin interacts with the dengue virus capsid protein and plays a role in formation of infectious virus particles."
"C","DAXX",1616,25019989,"DENV2","HepG2","Co-immunoprecipitation_x000D_, siRNA","Dengue virus disrupts Daxx and NF-?B interaction to induce CD137-mediated apoptosis."
"C","APOE",348,26161501,,,"Structure and sequence comparison, AFM-based force spectroscopy inhibition assay, ","Understanding Dengue Virus Capsid Protein Interaction with Key Biological Targets."
"C","PLIN3",10226,26161501,,,"Structure and sequence comparison, AFM-based force spectroscopy inhibition assay, ","Understanding Dengue Virus Capsid Protein Interaction with Key Biological Targets."
"DENV RNA","XRN1",54464,24692447,"DENV2","Cell free systems","Native gel electrophoresis, Chemical probing assay","RNA structures that resist degradation by Xrn1 produce a pathogenic Dengue virus RNA."
"DENV RNA","HNRNPC",3183,25890165,"DENV2","Huh7","Co-immunoprecipitation, siRNA","Role of human heterogeneous nuclear ribonucleoprotein C1/C2 in dengue virus replication."
"E","PLG",5340,11129636,"DENV1, DENV2, DENV3, DENV4","Cell free assays","Fibrin/Fibrinolysis assays, Fibrinogen/Fibrinolysis assays, Binding assays","Participation of the Dengue Virus in the Fibrinolytic Process"
"E","UBE2I",7329,17265167,"DENV2","Yeast, BHK-21, 293","Y2H assay, Co-immunoprecipitation, site directed mutagenesis","The type 2 dengue virus envelope protein interacts with small ubiquitin-like modifier-1 (SUMO-1) conjugating enzyme 9 (Ubc9)."
"E","M6PR",4074,18266465,"DENV2","NIH3T3","Cell binding assay, FACS, Immunofluorescence microscopy","The Mannose Receptor Mediates Dengue Virus Infection of Macrophages"
"E","CALR",811,19105951,"DENV2","Yeast, Vero","Y2H assay, Co-immunoprecipitation analysis, Co-localization analysis, siRNA","Interaction of dengue virus envelope protein with  endoplasmic reticulum-resident 
chaperones facilitates dengue virus production.
"
"E","CANX",821,19105951,"DENV2","Yeast, Vero","Y2H assay, Co-immunoprecipitation analysis, Co-localization analysis, siRNA","Interaction of dengue virus envelope protein with  endoplasmic reticulum-resident 
chaperones facilitates dengue virus production.
"
"E","HSPA5",3309,19105951,"DENV2","Yeast, Vero","Y2H assay, Co-immunoprecipitation analysis, Co-localization analysis, siRNA","Interaction of dengue virus envelope protein with  endoplasmic reticulum-resident 
chaperones facilitates dengue virus production.
"
"E","RAC1",5879,20824170,"DENV2","ECV304, Vero","Inhibition studies, Co-localization with Confocal microscopy, Co-immunoprecipitation","Roles of small GTPase Rac1 in the regulation of actin cytoskeleton during dengue virus infection."
"E","SERPINE1",5054,20886187,"DENV2","Huh7","RT-PCR, Western blot, immunofluorescence, inhibition assay","The dengue virus envelope protein induced PAI-1 gene expression via MEK/ERK pathways."
"E","ARHGEF11",9826,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","BAAT",570,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","CLIC2",1193,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","F8",2157,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","HPX",3263,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","IPO13",9670,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","MTRNR2L1",100462977,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","NRGN",4900,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","PLG",5340,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","RUFY3",22902,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","SMU1",55234,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","TMOD1",7111,21281507,"DENV2","Bacteria","Bacterial two hybrid assay","Dengue-2 structural proteins associate with human proteins to produce a coagulation and innate immune response biased interactome."
"E","ADRA1D",146,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","AFTPH",54812,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","AP1M1",8907,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","CSNK2A1",1457,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","GAB1",2549,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","IRF3",3661,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","UBE3A",7337,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","ZAP70",7535,21358811,"DENV2","insilico","Computational analysis","Mapping protein interactions between Dengue virus and its human and insect hosts."
"E","CD209",30835,23124109,"DENV2","Raji/DC-SIGN+ cells, Monocyte derived Dendritic cells (MDDCs)","Mutation analysis","Crucial role of the N-glycans on the viral E-envelope glycoprotein in DC-SIGN-mediated dengue virus infection."
"E","RPSA",3921,23137297,"DENV1, DENV2","invitro studies","in-vitro immunochemical and spectrofluorimetric methods, Indirect ELISA, Competitive ELISA","The folded and disordered domains of human ribosomal protein SA have both idiosyncratic and shared functions as membrane receptors."
"E","ACTB",60,23376163,"DENV2","Vero, ECV304 ","Modified virus overlay protein binding assay, Competition studies, Co-immunoprecipitation assays, Co-localization assays","Identification and characterization of a 43Â kDa actin protein involved in the DENV-2 binding and infection of ECV304 cells."
"E","CD209",30835,23527139,"DENV1, DENV2, DENV3, DENV4","insilico","Computational analysis","Interaction and inhibition of dengue envelope glycoprotein with mammalian receptor DC-sign, an in-silico approach."
"E","APCS",325,25100798,"DENV1, DENV2, DENV3, DENV4","Vero, Huh7.5","Affinity chromatography, Surface Plasmon Resonance (SPR)","Receptor-activated human ?2-macroglobulin interacts with the envelope protein of dengue virus and protects virions from temperature-induced inactivation through multivalent binding."
"E","ARF1",375,26031340,"DENV2",,"Immunofluorescence assays, Subcellular fractionation, Inhibition studies","Dengue Virus Uses a Non-Canonical Function of the Host GBF1-Arf-COPI System for Capsid Protein Accumulation on Lipid Droplets."
"E","ARF4",378,26031340,"DENV2",,"Immunofluorescence assays, Subcellular fractionation, Inhibition studies","Dengue Virus Uses a Non-Canonical Function of the Host GBF1-Arf-COPI System for Capsid Protein Accumulation on Lipid Droplets."
"E","GBF1",8729,26031340,"DENV2",,"Immunofluorescence assays, Subcellular fractionation, Inhibition studies","Dengue Virus Uses a Non-Canonical Function of the Host GBF1-Arf-COPI System for Capsid Protein Accumulation on Lipid Droplets."
"M","DYNLT1",6993,21767858,"DENV1, DENV2, DENV3, DENV4","Yeast, 293A, 293T, HepG2, Vero","Y2H assay, GST pull-down assays, siRNA","The interaction of flavivirus M protein with light chain Tctex-1 of human dynein plays a role in late stages of virus replication."
"M","DDX24",57062,21911577,"DENV2","Yeast","Y2H assay","A physical interaction network of dengue virus and human proteins."
"M","FUNDC1",139341,21911577,"DENV2","Yeast","Y2H assay","A physical interaction network of dengue virus and human proteins."
"M","FUNDC2",65991,21911577,"DENV2","Yeast","Y2H assay","A physical interaction network of dengue virus and human proteins."
"M","ARF4",378,22105072,"DENV1, DENV2, DENV3, DENV4","HeLa, 293T, HepG2","Co-immunoprecipitation, siRNA, Co-localization","Class II ADP-ribosylation factors are required for efficient secretion of dengue viruses."
"M","ARF5",381,22105072,"DENV1, DENV2, DENV3, DENV4","HeLa, 293T, HepG2","Co-immunoprecipitation, siRNA, Co-localization","Class II ADP-ribosylation factors are required for efficient secretion of dengue viruses."
"M","CLDN1",9076,24074594,"DENV1, DENV2, DENV3, DENV4","Huh7.5","siRNA, Pull-down assay, Knock-down analysis","The interaction between claudin-1 and dengue viral prM/M protein for its entry."
"NS1","STAT3",6774,15878791,"DENV2","BHK-21","Y2H assay, Co-immunoprecipitation, Co-localization by immunofluorescence microscopy","Recombinant non-structural 1 (NS1) protein of dengue-2 virus interacts with human STAT3beta protein."
"NS1","CLU",1191,17825259,"DENV2","Vero, 293T","Affinity purification followed by mass spectrometry","Secreted complement regulatory protein clusterin interacts with dengue virus nonstructural protein 1."
"NS1","HNRNPC",3183,18471994,"DENV2","293T","Co-immunoprecipitation, Two-dimensional gel electrophoresis and Mass spectrometry","Identification of human hnRNP C1/C2 as a dengue virus NS1-interacting protein."
"NS1","ATP5B",506,18997103,"DHF, DENV1, DENV2, DENV3, DENV4","HMEC-1, Sera from DHF patients","2-D PAGE followed MS Analyses, Western blot, Confocal microscopy, Cell binding assay, ELISA","Proteomic Analysis of Endothelial Cell Autoantigens Recognized by Anti-Dengue Virus Nonstructural Protein 1 Antibodies"
"NS1","HSPD1",3329,18997103,"DHF, DENV1, DENV2, DENV3, DENV4","HMEC-1, Sera from DHF patients","2-D PAGE followed MS Analyses, Western blot, Confocal microscopy, Cell binding assay, ELISA","Proteomic Analysis of Endothelial Cell Autoantigens Recognized by Anti-Dengue Virus Nonstructural Protein 1 Antibodies"
